latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.601053,88.31776,12.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-06-29,30.4,26.3,9.90,9.90,63
2020-06-30,31.2,25.4,11.30,11.30,63
2020-07-01,33.1,27.1,0.90,0.90,51
2020-07-02,33.6,27.8,0.60,0.60,51
2020-07-03,33.4,27.5,2.00,2.00,55
2020-07-04,32.0,27.0,9.10,9.10,63
2020-07-05,31.2,26.5,11.00,11.00,63
2020-07-06,31.4,26.5,9.50,9.50,61
2020-07-07,32.2,25.9,7.20,7.20,63
2020-07-08,32.0,27.0,20.90,20.90,65
2020-07-09,32.7,26.0,15.40,15.40,63
2020-07-10,32.5,27.3,2.40,2.40,55
2020-07-11,30.1,27.6,20.30,20.30,63
2020-07-12,31.5,27.5,17.90,17.90,63
2020-07-13,31.4,27.3,7.00,7.00,63
2020-07-14,31.3,25.9,10.30,10.30,63
2020-07-15,30.4,26.1,9.20,9.20,63
2020-07-16,32.0,26.3,1.10,1.10,51
2020-07-17,32.1,26.6,2.80,2.80,53
2020-07-18,32.0,27.1,6.10,6.10,61
2020-07-19,32.7,27.9,4.30,4.30,61
2020-07-20,31.5,27.9,4.20,4.20,61
2020-07-21,31.3,27.2,31.60,31.60,65
2020-07-22,29.3,26.3,32.50,32.50,63
2020-07-23,30.4,25.5,22.30,22.30,63
2020-07-24,29.6,25.3,12.90,12.90,61
2020-07-25,32.1,25.5,2.10,2.10,53
2020-07-26,33.2,27.2,3.00,3.00,61
2020-07-27,34.6,27.2,15.70,15.70,63
2020-07-28,31.5,26.4,15.50,15.50,63
2020-07-29,32.1,26.7,3.00,3.00,53
2020-07-30,32.9,26.7,2.60,2.60,53
2020-07-31,32.6,26.7,10.20,10.20,63
2020-08-01,33.4,26.7,4.60,4.60,61
2020-08-02,33.2,27.4,7.50,7.50,63
2020-08-03,32.5,27.4,14.00,14.00,63
2020-08-04,31.8,26.8,38.30,38.30,65
2020-08-05,30.2,26.7,22.00,22.00,63
2020-08-06,30.9,26.2,11.30,11.30,63
2020-08-07,32.3,26.6,4.70,4.70,61
2020-08-08,31.9,26.6,1.60,1.60,53
2020-08-09,31.3,26.6,6.40,6.40,63
2020-08-10,32.6,26.8,4.90,4.90,63
2020-08-11,32.9,27.0,2.60,2.60,55
2020-08-12,32.4,27.4,4.60,4.60,63
2020-08-13,32.6,26.9,4.10,4.10,61
2020-08-14,32.5,27.0,7.30,7.30,61
2020-08-15,31.6,26.3,5.30,5.30,53
2020-08-16,31.3,26.6,6.50,6.50,63
2020-08-17,30.5,26.6,4.80,4.80,63
2020-08-18,31.4,26.1,20.90,20.90,65
2020-08-19,29.6,25.7,39.90,39.90,65
2020-08-20,28.8,25.9,74.50,74.50,65
2020-08-21,28.8,25.4,15.60,15.60,63
2020-08-22,30.5,25.5,17.90,17.90,65
2020-08-23,30.6,25.6,18.20,18.20,65
2020-08-24,31.6,25.9,19.00,19.00,63
2020-08-25,32.1,26.0,34.10,34.10,65
2020-08-26,29.4,26.1,10.50,10.50,61
2020-08-27,28.4,25.8,9.70,9.70,61
2020-08-28,32.2,25.6,2.60,2.60,51
2020-08-29,32.9,26.5,0.60,0.60,51
2020-08-30,33.4,27.1,3.20,3.20,61
2020-08-31,33.5,27.5,2.10,2.10,55
2020-09-01,29.9,25.5,15.60,15.60,63
2020-09-02,30.6,25.5,9.70,9.70,63
2020-09-03,31.1,25.5,3.90,3.90,55
2020-09-04,32.0,25.2,1.30,1.30,51
2020-09-05,32.2,26.9,1.70,1.70,53
2020-09-06,32.4,27.7,4.50,4.50,61
2020-09-07,32.1,27.6,4.40,4.40,61
2020-09-08,32.7,27.0,8.10,8.10,63
2020-09-09,30.9,26.5,15.70,15.70,63
2020-09-10,31.8,25.5,17.50,17.50,63
2020-09-11,31.3,25.4,11.10,11.10,63
2020-09-12,31.6,26.5,5.50,5.50,61
2020-09-13,32.2,26.5,5.80,5.80,61
2020-09-14,31.3,26.7,2.90,2.90,61
2020-09-15,31.0,26.3,9.90,9.90,63
2020-09-16,32.2,26.4,6.20,6.20,61
2020-09-17,32.9,26.9,0.60,0.60,51
2020-09-18,33.0,27.0,4.30,4.30,61
2020-09-19,33.3,26.6,0.80,0.80,51
2020-09-20,30.6,27.6,22.10,22.10,65
2020-09-21,29.9,26.4,18.90,18.90,61
2020-09-22,31.2,26.0,12.30,12.30,61
2020-09-23,30.4,25.4,33.40,33.40,63
2020-09-24,30.9,25.8,10.80,10.80,63
2020-09-25,30.3,27.2,14.10,14.10,63
2020-09-26,30.8,26.4,8.50,8.50,63
2020-09-27,32.4,26.0,5.60,5.60,63
2020-09-28,32.1,25.8,1.30,1.30,51
2020-09-29,31.8,26.0,15.50,15.50,65
2020-09-30,31.4,26.1,16.70,16.70,63
2020-10-01,30.2,26.4,19.90,19.90,65
2020-10-02,31.0,25.5,14.10,14.10,65
2020-10-03,31.5,25.9,8.60,8.60,63
2020-10-04,31.1,25.4,9.20,9.20,63
2020-10-05,30.1,25.7,10.40,10.40,63
2020-10-06,31.2,25.8,10.30,10.30,63
2020-10-07,30.4,25.2,14.80,14.80,63
2020-10-08,31.6,25.3,4.20,4.20,61
2020-10-09,32.5,25.5,1.50,1.50,53
2020-10-10,33.2,26.5,3.70,3.70,61
2020-10-11,32.9,26.2,2.70,2.70,61
2020-10-12,32.8,26.5,0.30,0.30,51
2020-10-13,32.9,26.5,0.20,0.20,51
2020-10-14,32.6,26.2,0.50,0.50,51
2020-10-15,32.0,26.4,1.70,1.70,53
2020-10-16,32.5,25.5,1.10,1.10,51
2020-10-17,32.8,26.0,0.70,0.70,51
2020-10-18,32.8,25.7,0.50,0.50,51
2020-10-19,31.9,26.1,3.50,3.50,61
2020-10-20,32.8,25.9,0.20,0.20,51
2020-10-21,30.9,26.1,12.00,12.00,63
2020-10-22,28.1,24.1,17.80,17.80,63
2020-10-23,28.8,23.4,8.40,8.40,63
2020-10-24,30.2,22.8,0.50,0.50,51
2020-10-25,31.4,23.2,0.00,0.00,3
2020-10-26,31.3,24.0,0.00,0.00,0
2020-10-27,30.6,20.4,0.00,0.00,0
2020-10-28,30.2,21.1,0.00,0.00,2
2020-10-29,31.0,22.4,0.00,0.00,3
2020-10-30,31.7,23.9,0.00,0.00,3
2020-10-31,31.0,23.9,0.60,0.60,51
2020-11-01,29.7,24.4,2.40,2.40,53
2020-11-02,30.7,23.7,0.00,0.00,3
2020-11-03,31.1,23.5,0.20,0.20,51
2020-11-04,30.0,21.1,0.00,0.00,3
2020-11-05,30.2,19.2,0.00,0.00,0
2020-11-06,29.7,18.7,0.00,0.00,0
2020-11-07,29.1,17.2,0.00,0.00,0
2020-11-08,29.0,18.0,0.00,0.00,0
2020-11-09,29.6,18.2,0.00,0.00,0
2020-11-10,30.4,19.0,0.00,0.00,0
2020-11-11,31.6,22.3,0.00,0.00,3
2020-11-12,31.2,20.9,0.00,0.00,2
2020-11-13,31.3,20.7,0.00,0.00,1
2020-11-14,31.6,20.4,0.00,0.00,0
2020-11-15,31.2,19.9,0.00,0.00,1
2020-11-16,31.4,18.6,0.00,0.00,0
2020-11-17,31.1,18.9,0.00,0.00,0
2020-11-18,30.8,19.8,0.10,0.10,51
2020-11-19,30.2,21.5,1.00,1.00,51
2020-11-20,30.9,22.5,0.80,0.80,51
2020-11-21,27.8,22.0,0.50,0.50,51
2020-11-22,27.7,18.7,0.00,0.00,1
2020-11-23,26.7,15.2,0.00,0.00,1
2020-11-24,27.3,14.5,0.00,0.00,3
2020-11-25,27.9,16.1,0.00,0.00,3
2020-11-26,28.5,16.9,0.00,0.00,3
2020-11-27,26.3,19.2,0.00,0.00,3
2020-11-28,28.4,18.8,0.00,0.00,3
2020-11-29,28.2,17.1,0.00,0.00,0
2020-11-30,28.3,15.4,0.00,0.00,0
2020-12-01,28.1,15.8,0.00,0.00,0
2020-12-02,28.7,15.1,0.00,0.00,0
2020-12-03,28.3,15.6,0.00,0.00,0
2020-12-04,28.1,16.2,0.00,0.00,1
2020-12-05,28.4,16.3,0.00,0.00,3
2020-12-06,28.6,16.8,0.00,0.00,3
2020-12-07,29.2,17.1,0.00,0.00,0
2020-12-08,28.6,16.4,0.00,0.00,3
2020-12-09,27.2,16.7,0.00,0.00,3
2020-12-10,27.0,16.3,0.00,0.00,3
2020-12-11,26.6,15.8,0.00,0.00,3
2020-12-12,26.1,15.2,0.00,0.00,3
2020-12-13,26.9,16.5,0.00,0.00,3
2020-12-14,26.8,17.5,0.00,0.00,0
2020-12-15,27.0,18.0,0.00,0.00,2
2020-12-16,27.3,18.3,0.00,0.00,1
2020-12-17,26.4,17.5,0.00,0.00,3
2020-12-18,24.4,15.1,0.00,0.00,2
2020-12-19,22.7,12.5,0.00,0.00,3
2020-12-20,22.7,10.8,0.00,0.00,0
2020-12-21,23.5,11.0,0.00,0.00,0
2020-12-22,24.3,12.2,0.00,0.00,0
2020-12-23,25.0,11.9,0.00,0.00,0
2020-12-24,25.5,13.4,0.00,0.00,0
2020-12-25,25.5,13.0,0.00,0.00,0
2020-12-26,24.6,13.0,0.00,0.00,0
2020-12-27,24.3,11.0,0.00,0.00,0
2020-12-28,24.9,10.1,0.00,0.00,0
2020-12-29,25.6,11.2,0.00,0.00,0
2020-12-30,25.8,13.1,0.00,0.00,1
2020-12-31,25.7,12.1,0.00,0.00,3
2021-01-01,25.2,12.6,0.00,0.00,1
2021-01-02,25.2,11.8,0.00,0.00,2
2021-01-03,26.2,11.6,0.00,0.00,1
2021-01-04,27.6,12.7,0.00,0.00,0
2021-01-05,28.6,14.5,0.00,0.00,2
2021-01-06,29.3,14.7,0.00,0.00,0
2021-01-07,30.5,17.4,0.00,0.00,1
2021-01-08,29.8,18.6,0.00,0.00,1
2021-01-09,29.3,16.8,0.00,0.00,1
2021-01-10,30.0,18.0,0.00,0.00,1
2021-01-11,29.6,19.2,0.00,0.00,3
2021-01-12,27.5,18.3,0.00,0.00,2
2021-01-13,24.1,17.2,0.00,0.00,3
2021-01-14,24.9,16.5,0.00,0.00,3
2021-01-15,25.2,13.6,0.00,0.00,1
2021-01-16,24.4,13.3,0.00,0.00,2
2021-01-17,24.7,13.5,0.00,0.00,0
2021-01-18,24.8,12.5,0.00,0.00,0
2021-01-19,27.4,12.7,0.00,0.00,3
2021-01-20,28.1,18.9,0.00,0.00,3
2021-01-21,26.7,15.7,0.00,0.00,1
2021-01-22,26.1,13.0,0.00,0.00,0
2021-01-23,25.6,12.7,0.00,0.00,0
2021-01-24,27.0,13.4,0.00,0.00,0
2021-01-25,25.9,17.7,0.20,0.20,51
2021-01-26,26.3,15.7,0.00,0.00,3
2021-01-27,24.5,13.9,0.00,0.00,3
2021-01-28,24.7,12.1,0.00,0.00,1
2021-01-29,25.8,10.8,0.00,0.00,1
2021-01-30,23.1,14.7,0.00,0.00,2
2021-01-31,23.6,11.6,0.00,0.00,1
2021-02-01,23.3,10.0,0.00,0.00,0
2021-02-02,24.9,9.9,0.00,0.00,0
2021-02-03,25.7,10.2,0.00,0.00,0
2021-02-04,26.9,11.9,0.00,0.00,0
2021-02-05,27.6,12.5,0.00,0.00,0
2021-02-06,28.2,13.4,0.00,0.00,1
2021-02-07,26.4,14.3,0.00,0.00,2
2021-02-08,27.0,13.0,0.00,0.00,0
2021-02-09,27.8,12.1,0.00,0.00,0
2021-02-10,28.0,13.2,0.00,0.00,0
2021-02-11,29.5,14.9,0.00,0.00,3
2021-02-12,30.0,16.1,0.00,0.00,3
2021-02-13,29.6,16.0,0.00,0.00,3
2021-02-14,30.2,17.4,0.00,0.00,3
2021-02-15,30.2,18.4,0.00,0.00,3
2021-02-16,31.1,16.6,0.00,0.00,0
2021-02-17,30.7,17.2,0.00,0.00,1
2021-02-18,29.9,17.5,0.00,0.00,1
2021-02-19,30.2,18.2,0.00,0.00,3
2021-02-20,27.5,18.9,0.00,0.00,3
2021-02-21,30.3,17.2,0.00,0.00,1
2021-02-22,30.9,16.8,0.00,0.00,0
2021-02-23,31.4,16.8,0.00,0.00,0
2021-02-24,31.8,18.4,0.00,0.00,3
2021-02-25,33.3,18.2,0.00,0.00,0
2021-02-26,34.8,19.8,0.00,0.00,0
2021-02-27,34.7,18.6,0.00,0.00,0
2021-02-28,35.7,21.2,0.00,0.00,3
2021-03-01,35.3,22.5,0.00,0.00,3
2021-03-02,33.1,22.1,0.00,0.00,3
2021-03-03,32.6,20.9,0.00,0.00,3
2021-03-04,33.2,17.6,0.00,0.00,0
2021-03-05,35.1,21.2,0.00,0.00,2
2021-03-06,35.5,22.3,0.00,0.00,0
2021-03-07,34.4,19.8,0.00,0.00,1
2021-03-08,34.9,22.0,0.00,0.00,3
2021-03-09,36.4,22.9,0.00,0.00,1
2021-03-10,35.6,23.6,0.00,0.00,2
2021-03-11,33.3,23.4,0.90,0.90,53
2021-03-12,33.5,23.6,0.30,0.30,51
2021-03-13,32.1,22.1,4.60,4.60,63
2021-03-14,32.2,19.1,0.00,0.00,0
