latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.086115,72.85291,6.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-11-03,33.1,24.0,0.00,0.00,1
2020-11-04,32.7,23.0,0.00,0.00,1
2020-11-05,33.0,22.4,0.00,0.00,0
2020-11-06,32.8,22.4,0.00,0.00,0
2020-11-07,33.1,21.4,0.00,0.00,1
2020-11-08,33.7,23.1,0.00,0.00,0
2020-11-09,32.3,22.1,0.00,0.00,0
2020-11-10,32.4,20.3,0.00,0.00,0
2020-11-11,32.0,20.2,0.00,0.00,0
2020-11-12,31.9,20.1,0.00,0.00,0
2020-11-13,32.5,20.4,0.00,0.00,0
2020-11-14,33.4,22.7,0.00,0.00,1
2020-11-15,32.3,24.2,0.00,0.00,3
2020-11-16,33.1,24.2,0.00,0.00,2
2020-11-17,33.9,25.2,0.00,0.00,3
2020-11-18,30.8,24.4,0.10,0.10,51
2020-11-19,32.2,25.4,0.00,0.00,3
2020-11-20,31.1,24.3,0.00,0.00,3
2020-11-21,31.0,22.6,0.00,0.00,3
2020-11-22,30.9,21.1,0.00,0.00,3
2020-11-23,30.6,21.2,0.00,0.00,3
2020-11-24,31.0,21.7,0.00,0.00,3
2020-11-25,31.0,22.8,0.00,0.00,3
2020-11-26,31.4,21.3,0.00,0.00,1
2020-11-27,33.0,23.5,0.00,0.00,0
2020-11-28,32.3,23.2,0.00,0.00,3
2020-11-29,31.6,24.3,0.00,0.00,3
2020-11-30,32.0,22.9,0.00,0.00,0
2020-12-01,33.1,24.4,0.00,0.00,1
2020-12-02,32.8,23.6,0.00,0.00,3
2020-12-03,32.5,21.5,0.00,0.00,2
2020-12-04,32.4,20.3,0.00,0.00,3
2020-12-05,32.8,19.3,0.00,0.00,1
2020-12-06,32.9,20.1,0.00,0.00,3
2020-12-07,33.4,20.3,0.00,0.00,3
2020-12-08,33.0,20.7,0.00,0.00,3
2020-12-09,32.7,21.7,0.00,0.00,3
2020-12-10,31.0,24.3,0.00,0.00,3
2020-12-11,28.0,24.4,1.00,1.00,53
2020-12-12,30.4,23.0,1.30,1.30,51
2020-12-13,28.9,22.6,0.00,0.00,3
2020-12-14,27.4,22.6,22.50,22.50,63
2020-12-15,29.3,21.9,0.00,0.00,3
2020-12-16,29.3,21.9,0.00,0.00,3
2020-12-17,30.2,21.5,0.00,0.00,3
2020-12-18,30.8,21.2,0.00,0.00,3
2020-12-19,31.9,20.6,0.00,0.00,3
2020-12-20,31.0,21.1,0.00,0.00,2
2020-12-21,31.2,18.8,0.00,0.00,3
2020-12-22,30.9,17.2,0.00,0.00,3
2020-12-23,29.4,16.5,0.00,0.00,2
2020-12-24,31.0,17.4,0.00,0.00,0
2020-12-25,32.5,18.9,0.00,0.00,0
2020-12-26,31.5,19.8,0.00,0.00,2
2020-12-27,30.0,20.8,0.00,0.00,3
2020-12-28,28.3,19.7,0.00,0.00,2
2020-12-29,27.5,16.5,0.00,0.00,3
2020-12-30,28.7,18.3,0.00,0.00,0
2020-12-31,32.0,19.1,0.00,0.00,2
2021-01-01,31.7,20.8,0.00,0.00,3
2021-01-02,28.9,22.6,0.00,0.00,3
2021-01-03,28.3,21.5,0.00,0.00,3
2021-01-04,28.0,21.2,0.00,0.00,3
2021-01-05,28.4,21.2,0.40,0.40,51
2021-01-06,29.1,21.6,0.00,0.00,3
2021-01-07,29.4,21.6,0.20,0.20,51
2021-01-08,28.9,22.9,2.80,2.80,53
2021-01-09,30.3,22.9,0.20,0.20,51
2021-01-10,31.0,23.9,0.00,0.00,3
2021-01-11,31.3,23.8,0.00,0.00,2
2021-01-12,32.7,24.0,0.00,0.00,3
2021-01-13,32.2,22.5,0.00,0.00,3
2021-01-14,30.5,21.5,0.00,0.00,3
2021-01-15,28.3,20.3,0.00,0.00,3
2021-01-16,28.4,18.2,0.00,0.00,1
2021-01-17,28.2,19.0,0.00,0.00,3
2021-01-18,28.8,20.4,0.00,0.00,0
2021-01-19,29.9,21.0,0.00,0.00,2
2021-01-20,30.4,20.1,0.00,0.00,0
2021-01-21,28.8,19.5,0.00,0.00,0
2021-01-22,29.7,18.3,0.00,0.00,0
2021-01-23,30.6,20.0,0.00,0.00,0
2021-01-24,29.4,19.2,0.00,0.00,0
2021-01-25,29.0,16.7,0.00,0.00,3
2021-01-26,28.0,17.7,0.00,0.00,2
2021-01-27,27.1,16.9,0.00,0.00,3
2021-01-28,27.6,17.0,0.00,0.00,3
2021-01-29,28.2,16.7,0.00,0.00,2
2021-01-30,30.0,17.3,0.00,0.00,0
2021-01-31,30.9,17.9,0.00,0.00,0
2021-02-01,32.6,20.5,0.00,0.00,1
2021-02-02,32.9,21.5,0.00,0.00,1
2021-02-03,31.3,19.1,0.00,0.00,0
2021-02-04,30.2,20.1,0.00,0.00,0
2021-02-05,29.9,20.1,0.00,0.00,0
2021-02-06,31.4,19.3,0.00,0.00,3
2021-02-07,32.8,20.9,0.00,0.00,0
2021-02-08,32.7,18.7,0.00,0.00,0
2021-02-09,32.7,17.3,0.00,0.00,0
2021-02-10,30.9,17.5,0.00,0.00,3
