latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.110721,80.2459,12.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-06-16,37.1,29.0,0.00,0.00,3
2020-06-17,36.9,28.3,0.50,0.50,51
2020-06-18,36.7,29.7,0.30,0.30,51
2020-06-19,37.2,29.3,0.30,0.30,51
2020-06-20,37.0,28.6,0.40,0.40,51
2020-06-21,36.7,27.9,0.40,0.40,51
2020-06-22,36.3,26.6,7.10,7.10,63
2020-06-23,33.5,25.9,8.10,8.10,61
2020-06-24,32.6,25.9,2.50,2.50,61
2020-06-25,30.8,26.2,1.30,1.30,53
2020-06-26,31.3,25.7,3.30,3.30,55
2020-06-27,32.8,27.0,2.10,2.10,55
2020-06-28,32.4,27.1,2.80,2.80,61
2020-06-29,31.4,26.7,5.70,5.70,63
2020-06-30,31.7,26.0,10.30,10.30,63
2020-07-01,32.8,25.8,7.10,7.10,63
2020-07-02,31.1,26.6,4.90,4.90,61
2020-07-03,32.7,25.8,1.80,1.80,53
2020-07-04,31.7,25.6,1.70,1.70,53
2020-07-05,32.4,26.8,0.00,0.00,3
2020-07-06,33.5,26.9,1.40,1.40,51
2020-07-07,34.6,26.8,2.60,2.60,55
2020-07-08,31.9,26.0,5.80,5.80,61
2020-07-09,31.3,25.6,17.00,17.00,63
2020-07-10,32.3,25.0,22.20,22.20,65
2020-07-11,30.1,25.5,5.40,5.40,61
2020-07-12,33.6,26.5,5.70,5.70,61
2020-07-13,32.0,24.9,5.80,5.80,61
2020-07-14,31.8,26.8,0.80,0.80,51
2020-07-15,32.5,26.2,4.00,4.00,61
2020-07-16,31.8,26.2,0.80,0.80,53
2020-07-17,32.7,25.9,1.10,1.10,53
2020-07-18,32.0,26.6,0.00,0.00,3
2020-07-19,30.5,26.1,3.90,3.90,53
2020-07-20,30.6,25.9,6.60,6.60,61
2020-07-21,30.7,26.8,0.50,0.50,51
2020-07-22,31.4,26.9,0.70,0.70,51
2020-07-23,31.8,25.9,11.90,11.90,65
2020-07-24,31.7,25.2,9.70,9.70,63
2020-07-25,31.9,25.3,2.30,2.30,55
2020-07-26,32.1,25.2,0.30,0.30,51
2020-07-27,32.6,26.6,5.50,5.50,61
2020-07-28,33.3,25.4,13.20,13.20,63
2020-07-29,31.2,25.2,25.10,25.10,63
2020-07-30,32.4,26.0,8.90,8.90,63
2020-07-31,32.2,25.6,5.20,5.20,61
2020-08-01,32.6,25.9,0.60,0.60,51
2020-08-02,32.7,26.5,8.20,8.20,63
2020-08-03,31.2,25.5,1.50,1.50,53
2020-08-04,31.5,27.2,0.70,0.70,51
2020-08-05,29.5,25.3,3.50,3.50,61
2020-08-06,33.0,26.6,0.00,0.00,3
2020-08-07,34.2,26.7,1.30,1.30,61
2020-08-08,33.4,27.8,0.80,0.80,53
2020-08-09,30.3,25.6,5.40,5.40,61
2020-08-10,32.3,25.3,9.90,9.90,63
2020-08-11,34.0,26.1,4.70,4.70,61
2020-08-12,32.5,25.9,0.50,0.50,51
2020-08-13,32.7,26.7,0.10,0.10,51
2020-08-14,31.9,26.6,0.30,0.30,51
2020-08-15,32.2,26.7,0.00,0.00,3
2020-08-16,31.8,25.9,1.40,1.40,51
2020-08-17,31.9,25.2,2.80,2.80,53
2020-08-18,33.3,26.6,3.30,3.30,63
2020-08-19,33.4,26.7,0.00,0.00,3
2020-08-20,31.5,27.7,0.00,0.00,3
2020-08-21,32.5,27.0,0.90,0.90,53
2020-08-22,32.0,26.3,6.30,6.30,61
2020-08-23,32.5,25.5,7.10,7.10,61
2020-08-24,31.2,25.0,9.70,9.70,63
2020-08-25,30.4,26.4,3.30,3.30,61
2020-08-26,32.0,26.3,3.70,3.70,63
2020-08-27,32.9,25.4,1.50,1.50,53
2020-08-28,32.8,26.0,2.30,2.30,53
2020-08-29,31.6,26.3,2.00,2.00,53
2020-08-30,31.3,25.3,6.80,6.80,63
2020-08-31,32.5,24.9,7.20,7.20,63
2020-09-01,31.7,25.5,12.40,12.40,63
2020-09-02,30.1,25.6,17.00,17.00,63
2020-09-03,30.4,25.2,0.30,0.30,51
2020-09-04,29.7,25.4,3.20,3.20,61
2020-09-05,30.5,25.7,0.90,0.90,51
2020-09-06,30.5,26.0,4.30,4.30,61
2020-09-07,31.2,25.5,1.90,1.90,55
2020-09-08,32.3,26.1,5.30,5.30,63
2020-09-09,30.9,25.9,5.30,5.30,61
2020-09-10,30.4,25.6,2.20,2.20,53
2020-09-11,31.2,26.4,1.10,1.10,53
2020-09-12,29.1,25.2,7.00,7.00,53
2020-09-13,27.6,25.3,24.60,24.60,63
2020-09-14,30.2,24.6,4.40,4.40,61
2020-09-15,31.2,26.0,3.80,3.80,63
2020-09-16,32.2,25.4,4.60,4.60,61
2020-09-17,32.4,26.2,1.50,1.50,53
2020-09-18,31.9,26.0,11.30,11.30,63
2020-09-19,27.9,24.4,13.90,13.90,63
2020-09-20,30.2,25.5,0.90,0.90,51
2020-09-21,29.8,25.7,0.00,0.00,3
2020-09-22,32.8,25.8,0.10,0.10,51
2020-09-23,33.3,25.6,0.20,0.20,51
2020-09-24,33.4,26.2,0.00,0.00,3
2020-09-25,31.3,26.8,5.30,5.30,61
2020-09-26,31.8,26.0,2.40,2.40,53
2020-09-27,32.0,25.5,2.40,2.40,53
2020-09-28,32.3,26.0,1.60,1.60,53
2020-09-29,33.2,24.1,24.10,24.10,63
2020-09-30,29.9,24.4,3.60,3.60,61
2020-10-01,31.5,24.5,11.30,11.30,63
2020-10-02,32.8,25.7,0.50,0.50,51
2020-10-03,33.6,26.6,0.10,0.10,51
2020-10-04,33.6,27.1,0.30,0.30,51
2020-10-05,33.9,26.5,0.00,0.00,3
2020-10-06,33.5,26.1,0.40,0.40,51
2020-10-07,33.8,26.8,0.50,0.50,51
2020-10-08,32.7,26.0,2.60,2.60,61
2020-10-09,31.3,26.1,5.40,5.40,61
2020-10-10,28.7,25.4,28.50,28.50,63
2020-10-11,29.8,24.4,21.60,21.60,63
2020-10-12,31.1,25.2,1.50,1.50,53
2020-10-13,31.8,25.6,1.70,1.70,55
2020-10-14,32.9,26.2,0.20,0.20,51
2020-10-15,32.4,26.4,0.00,0.00,3
2020-10-16,32.1,26.2,3.80,3.80,63
2020-10-17,30.5,25.5,24.80,24.80,63
2020-10-18,29.3,25.0,12.10,12.10,63
2020-10-19,30.6,24.9,6.10,6.10,61
2020-10-20,28.4,25.0,26.20,26.20,65
2020-10-21,30.4,24.7,10.40,10.40,63
2020-10-22,31.9,25.0,18.60,18.60,63
