latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.970123,77.56364,910.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-06-09,30.1,19.9,0.00,0.00,3
2020-06-10,27.8,20.9,1.20,1.20,51
2020-06-11,27.7,20.7,7.30,7.30,55
2020-06-12,26.1,20.3,5.10,5.10,55
2020-06-13,29.3,20.2,1.30,1.30,51
2020-06-14,28.7,20.5,3.40,3.40,61
2020-06-15,29.3,21.6,0.60,0.60,51
2020-06-16,29.2,20.8,0.70,0.70,51
2020-06-17,26.8,21.0,0.40,0.40,51
2020-06-18,28.3,20.6,0.10,0.10,51
2020-06-19,30.1,20.1,6.20,6.20,63
2020-06-20,30.4,20.0,2.40,2.40,61
2020-06-21,28.0,20.3,1.80,1.80,53
2020-06-22,28.9,20.0,8.40,8.40,63
2020-06-23,29.7,20.5,0.20,0.20,51
2020-06-24,29.3,20.7,14.90,14.90,63
2020-06-25,29.0,20.6,27.70,27.70,65
2020-06-26,27.4,20.5,14.90,14.90,63
2020-06-27,27.2,20.5,2.50,2.50,61
2020-06-28,27.8,20.5,14.40,14.40,65
2020-06-29,28.0,20.6,13.80,13.80,63
2020-06-30,27.8,20.3,7.80,7.80,61
2020-07-01,27.1,20.0,3.30,3.30,61
2020-07-02,26.0,20.6,6.10,6.10,61
2020-07-03,26.7,20.6,42.80,42.80,65
2020-07-04,26.5,20.0,6.20,6.20,61
2020-07-05,26.6,20.3,2.70,2.70,61
2020-07-06,26.6,20.3,5.30,5.30,61
2020-07-07,27.4,19.7,2.20,2.20,55
2020-07-08,26.8,19.6,10.30,10.30,63
2020-07-09,26.0,19.5,13.40,13.40,63
2020-07-10,24.8,19.1,10.20,10.20,61
2020-07-11,27.3,19.5,1.30,1.30,51
2020-07-12,27.1,20.3,3.40,3.40,61
2020-07-13,26.8,19.6,11.50,11.50,63
2020-07-14,26.9,19.8,6.80,6.80,61
2020-07-15,25.9,20.2,9.10,9.10,61
2020-07-16,25.2,19.9,10.20,10.20,61
2020-07-17,23.6,19.9,4.20,4.20,61
2020-07-18,27.1,19.9,12.40,12.40,63
2020-07-19,27.0,19.8,10.00,10.00,61
2020-07-20,27.7,19.8,12.60,12.60,63
2020-07-21,28.4,19.9,0.20,0.20,51
2020-07-22,29.2,20.8,0.40,0.40,51
2020-07-23,28.1,20.2,64.90,64.90,65
2020-07-24,26.0,20.4,50.20,50.20,65
2020-07-25,27.6,19.5,10.20,10.20,63
2020-07-26,27.0,19.7,2.20,2.20,53
2020-07-27,27.4,18.9,1.30,1.30,53
2020-07-28,27.9,19.6,6.90,6.90,63
2020-07-29,25.9,20.2,13.10,13.10,63
2020-07-30,26.8,20.2,4.40,4.40,55
2020-07-31,27.6,20.1,5.20,5.20,63
2020-08-01,25.5,19.9,2.70,2.70,53
2020-08-02,23.7,19.7,20.70,20.70,63
2020-08-03,25.9,20.0,3.00,3.00,53
2020-08-04,24.6,20.5,3.10,3.10,53
2020-08-05,26.4,20.1,4.90,4.90,53
2020-08-06,26.5,20.5,3.40,3.40,53
2020-08-07,24.6,20.9,4.60,4.60,53
2020-08-08,25.4,21.0,2.30,2.30,53
2020-08-09,24.3,20.1,13.60,13.60,61
2020-08-10,24.8,19.6,6.50,6.50,61
2020-08-11,26.0,20.1,3.50,3.50,53
2020-08-12,25.8,19.5,0.40,0.40,51
2020-08-13,26.8,19.7,0.00,0.00,3
2020-08-14,26.0,19.5,0.40,0.40,51
2020-08-15,25.4,19.4,0.20,0.20,51
2020-08-16,25.8,19.3,1.70,1.70,51
2020-08-17,27.5,19.8,7.20,7.20,63
2020-08-18,25.9,19.0,7.90,7.90,63
2020-08-19,26.6,18.6,3.30,3.30,61
2020-08-20,26.1,19.4,1.00,1.00,53
2020-08-21,27.5,19.0,0.80,0.80,51
2020-08-22,27.6,19.1,3.90,3.90,63
2020-08-23,27.5,19.7,2.10,2.10,53
2020-08-24,26.3,19.9,3.40,3.40,53
2020-08-25,28.2,19.9,0.00,0.00,3
2020-08-26,27.7,20.3,0.00,0.00,3
2020-08-27,27.8,19.0,0.10,0.10,51
2020-08-28,28.7,19.3,0.00,0.00,3
2020-08-29,29.7,18.8,0.30,0.30,51
2020-08-30,28.6,20.1,5.10,5.10,61
2020-08-31,27.4,20.0,4.70,4.70,53
2020-09-01,26.8,19.6,6.60,6.60,63
2020-09-02,26.2,19.6,19.90,19.90,63
2020-09-03,27.3,19.7,16.80,16.80,63
2020-09-04,28.3,20.1,3.10,3.10,53
2020-09-05,27.5,21.0,5.40,5.40,55
2020-09-06,28.2,21.0,11.10,11.10,63
2020-09-07,26.4,20.2,6.10,6.10,61
2020-09-08,28.0,20.2,12.50,12.50,63
2020-09-09,26.3,19.9,18.10,18.10,63
2020-09-10,25.6,20.2,21.80,21.80,63
2020-09-11,25.2,19.8,3.50,3.50,55
2020-09-12,23.4,19.8,13.20,13.20,61
2020-09-13,22.8,19.6,22.10,22.10,63
2020-09-14,24.2,19.3,6.00,6.00,55
2020-09-15,26.4,19.1,14.40,14.40,65
2020-09-16,26.4,19.2,11.60,11.60,65
2020-09-17,27.1,19.2,5.60,5.60,63
2020-09-18,25.7,19.9,10.20,10.20,63
2020-09-19,23.9,19.8,11.70,11.70,61
2020-09-20,22.5,19.8,21.90,21.90,63
2020-09-21,22.5,19.8,9.40,9.40,61
2020-09-22,27.0,19.5,0.40,0.40,51
2020-09-23,27.4,18.1,0.00,0.00,3
2020-09-24,27.2,18.9,0.20,0.20,51
2020-09-25,26.5,19.4,8.80,8.80,63
2020-09-26,24.6,19.9,2.40,2.40,53
2020-09-27,25.3,19.4,1.90,1.90,53
2020-09-28,26.4,18.9,3.80,3.80,63
2020-09-29,25.8,19.4,10.70,10.70,63
2020-09-30,23.7,19.6,7.20,7.20,53
2020-10-01,26.1,18.5,0.60,0.60,51
2020-10-02,27.1,18.8,1.80,1.80,53
2020-10-03,27.0,19.7,5.00,5.00,53
2020-10-04,26.3,19.4,2.30,2.30,51
2020-10-05,27.0,18.2,1.40,1.40,51
2020-10-06,27.9,19.0,0.80,0.80,51
2020-10-07,28.0,19.5,0.30,0.30,51
2020-10-08,28.3,18.8,0.70,0.70,51
2020-10-09,27.8,20.2,4.80,4.80,63
2020-10-10,26.0,19.0,4.60,4.60,55
2020-10-11,24.4,19.4,17.10,17.10,63
2020-10-12,24.6,19.4,9.60,9.60,63
2020-10-13,24.9,19.4,1.50,1.50,51
2020-10-14,24.9,18.5,0.50,0.50,51
2020-10-15,26.5,18.6,0.00,0.00,3
2020-10-16,26.7,19.0,1.00,1.00,51
2020-10-17,27.2,17.2,0.00,0.00,3
2020-10-18,26.8,19.3,0.50,0.50,51
2020-10-19,25.0,20.2,11.40,11.40,63
2020-10-20,24.8,19.7,8.40,8.40,61
2020-10-21,25.2,19.9,19.50,19.50,63
2020-10-22,24.4,19.5,15.30,15.30,63
2020-10-23,25.1,19.2,5.60,5.60,61
2020-10-24,26.0,16.8,12.20,12.20,63
2020-10-25,27.2,18.8,2.60,2.60,61
2020-10-26,27.8,18.7,0.60,0.60,51
2020-10-27,27.4,17.5,0.00,0.00,2
2020-10-28,27.0,17.8,0.00,0.00,2
2020-10-29,26.3,17.3,0.40,0.40,51
2020-10-30,27.1,17.3,0.00,0.00,3
2020-10-31,26.9,17.5,1.60,1.60,51
2020-11-01,27.0,18.3,0.10,0.10,51
2020-11-02,27.9,19.6,0.40,0.40,51
2020-11-03,27.5,19.0,0.40,0.40,51
2020-11-04,27.7,19.1,0.70,0.70,51
2020-11-05,27.8,19.4,4.80,4.80,53
2020-11-06,27.5,19.7,0.00,0.00,3
2020-11-07,27.3,19.7,0.80,0.80,51
2020-11-08,27.3,19.2,0.20,0.20,51
2020-11-09,26.6,17.9,0.00,0.00,3
2020-11-10,26.2,15.0,0.00,0.00,3
2020-11-11,27.2,14.9,0.00,0.00,3
2020-11-12,27.7,18.5,1.80,1.80,53
2020-11-13,26.6,20.1,2.70,2.70,61
2020-11-14,27.3,19.4,0.20,0.20,51
2020-11-15,26.5,18.1,8.20,8.20,61
2020-11-16,24.7,20.0,39.50,39.50,65
2020-11-17,25.7,19.5,0.60,0.60,51
2020-11-18,26.0,18.7,1.00,1.00,51
2020-11-19,26.3,18.5,0.20,0.20,51
2020-11-20,26.6,18.5,0.00,0.00,3
2020-11-21,26.1,15.4,0.00,0.00,3
2020-11-22,26.5,13.8,0.00,0.00,3
2020-11-23,26.9,15.8,0.00,0.00,3
2020-11-24,26.7,18.5,0.10,0.10,51
2020-11-25,25.0,17.7,1.70,1.70,53
2020-11-26,20.6,18.4,24.20,24.20,63
2020-11-27,23.4,17.2,0.00,0.00,3
2020-11-28,25.0,15.7,1.10,1.10,51
2020-11-29,25.9,18.4,0.60,0.60,51
2020-11-30,25.3,18.4,0.10,0.10,51
2020-12-01,25.1,16.2,0.00,0.00,3
2020-12-02,25.8,16.1,0.00,0.00,3
2020-12-03,22.8,17.4,17.00,17.00,63
2020-12-04,23.0,19.1,5.70,5.70,61
2020-12-05,24.5,19.3,3.70,3.70,53
2020-12-06,24.8,18.3,4.10,4.10,61
2020-12-07,25.6,19.1,5.80,5.80,63
2020-12-08,25.0,19.2,9.20,9.20,63
2020-12-09,25.4,18.4,3.00,3.00,55
2020-12-10,25.1,16.6,0.00,0.00,3
